[2025-05-30 04:49:22,881: INFO: main: This a trial project]
[2025-05-30 07:13:32,410: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-05-30 07:13:32,442: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-05-30 07:13:32,442: INFO: common: yaml_file: schema.yaml loaded successfully]
[2025-05-30 07:13:32,458: INFO: common: Created directory at: artifacts]
[2025-05-30 07:13:32,463: INFO: common: Created directory at: artifacts/data_ingestion]
[2025-05-30 07:40:35,836: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-05-30 07:40:35,855: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-05-30 07:40:35,870: INFO: common: yaml_file: schema.yaml loaded successfully]
[2025-05-30 07:40:35,874: INFO: common: Created directory at: artifacts]
[2025-05-30 07:40:35,879: INFO: common: Created directory at: artifacts/data_validation]
[2025-05-30 07:49:11,495: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-05-30 07:49:11,510: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-05-30 07:49:11,521: INFO: common: yaml_file: schema.yaml loaded successfully]
[2025-05-30 07:49:11,526: INFO: common: Created directory at: artifacts]
[2025-05-30 07:49:11,530: INFO: common: Created directory at: artifacts/data_validation]
